WRL_ID;IP_TYPE;IPV4;IPV6;IP_PORT;REGION_ID
276246570;0;AC1101F2;;1F42;28
124983338;0;AC1101F2;;1F42;28
17265432;0;AC1101F2;;1F42;28
276246571;0;AC110162;;1F42;28
124983339;0;AC110162;;1F42;28
17265432;0;AC110162;;1F42;28
276238426;0;AC110242;;1F42;28
124854106;0;AC110242;;1F42;28
17264927;0;AC110242;;1F42;28
276238348;0;AC110042;;1F42;28
124850700;0;AC110042;;1F42;28
17264914;0;AC110042;;1F42;28
276242459;0;AC110112;;1F42;28
124915995;0;AC110112;;1F42;28
17265169;0;AC110112;;1F42;28
